model,avg_cosine,valid_pairs_count
phonetics/fasttext_phonetic.model,0.8286075,7123
phonetics/fasttext_simplified_phonetic.model,0.78101176,7123
text/fasttext_word.model,0.6758412,7123
text/word2vec_glove.model,0.50743026,367
combined/fasttext_phonetic.model__fasttext_word.model,0.75222445,7123
combined/fasttext_phonetic.model__word2vec_glove.model,0.6598362,367
combined/fasttext_simplified_phonetic.model__fasttext_word.model,0.7284265,7123
combined/fasttext_simplified_phonetic.model__word2vec_glove.model,0.62684613,367
